Threshold,Sample Efficiency,Percent Change
0.43,8.964589870013447e-05,19.214586255259462
0.44,8.941029072581793e-05,18.90126565070465
0.45,0.00011283177463935481,50.048061597012975
0.46,0.00011829134720700986,57.30841253577359
0.47000000000000003,0.00011624470495517683,54.58670844442467
0.48,0.00012090288946813821,60.78134252658057
0.49,0.00012441867488071511,65.45677006314453
0.5,0.00012374226610836823,64.55725549411227
0.51,0.00012250749380946174,62.91520749338905
0.52,0.00011593766468418279,54.17839440662695
0.53,0.00011593766468418279,54.17839440662695
0.54,0.00012703453751488687,68.93544545326488
0.55,0.00012472254518549835,65.86086855716677
0.56,0.00012114827495391098,61.107665644354206
0.5700000000000001,0.00012016207908341484,59.79618420044442
0.58,0.00012887388769561214,71.3814845242455
0.59,0.00012738853503184712,69.40620505444831
0.6,0.00011409254172829073,51.72467847576727
0.61,0.00011354420113544201,50.995473929309576
0.62,9.818076812012706e-05,30.564585992007675
0.63,9.512485136741974e-05,26.50070960070577
0.64,8.086253369272237e-05,7.53412746717676
0.65,7.242628039317123e-05,-3.6847287352101894
0.66,7.242628039317123e-05,-3.6847287352101894
0.67,7.242628039317123e-05,-3.6847287352101894
0.68,7.255139056831923e-05,-3.5183523813238664
0.6900000000000001,7.255139056831923e-05,-3.5183523813238664
0.7000000000000001,6.688963210702341e-05,-11.047577947998706
0.71,6.17283950617284e-05,-17.911190760653124
0.72,6.17283950617284e-05,-17.911190760653124
0.73,6.17283950617284e-05,-17.911190760653124
0.74,6.17283950617284e-05,-17.911190760653124
0.75,6.17283950617284e-05,-17.911190760653124
0.76,6.17283950617284e-05,-17.911190760653124
0.77,6.17283950617284e-05,-17.911190760653124
0.78,6.17283950617284e-05,-17.911190760653124
0.79,0.0,-100.0
0.8,0.0,-100.0
0.81,0.0,-100.0
0.8200000000000001,0.0,-100.0
0.8300000000000001,0.0,-100.0
0.84,0.0,-100.0
0.85,0.0,-100.0
0.86,0.0,-100.0
0.87,0.0,-100.0
0.88,0.0,-100.0
0.89,0.0,-100.0
0.9,0.0,-100.0
0.91,0.0,-100.0
0.92,0.0,-100.0
0.93,0.0,-100.0
0.9400000000000001,0.0,-100.0
0.9500000000000001,0.0,-100.0
0.96,0.0,-100.0
0.97,0.0,-100.0
0.98,0.0,-100.0
0.99,0.0,-100.0
1.0,0.0,-100.0
1.01,0.0,-100.0
1.02,0.0,-100.0
1.03,0.0,-100.0
1.04,0.0,-100.0
1.05,0.0,-100.0
1.06,0.0,-100.0
1.07,0.0,-100.0
1.08,0.0,-100.0
1.09,0.0,-100.0
1.1,0.0,-100.0
1.11,0.0,-100.0
1.12,0.0,-100.0
1.1300000000000001,0.0,-100.0
1.1400000000000001,0.0,-100.0
1.1500000000000001,0.0,-100.0
1.16,0.0,-100.0
1.17,0.0,-100.0
1.18,0.0,-100.0
1.19,0.0,-100.0
1.2,0.0,-100.0
1.21,0.0,-100.0
1.22,0.0,-100.0
1.23,0.0,-100.0
1.24,0.0,-100.0
1.25,0.0,-100.0
1.26,0.0,-100.0
1.27,0.0,-100.0
1.28,0.0,-100.0
1.29,0.0,-100.0
1.3,0.0,-100.0
1.31,0.0,-100.0
1.32,0.0,-100.0
1.33,0.0,-100.0
1.34,0.0,-100.0
1.35,0.0,-100.0
1.36,0.0,-100.0
1.37,0.0,-100.0
1.3800000000000001,0.0,-100.0
1.3900000000000001,0.0,-100.0
1.4000000000000001,0.0,-100.0
1.41,0.0,-100.0
1.42,0.0,-100.0
1.43,0.0,-100.0
1.44,0.0,-100.0
1.45,0.0,-100.0
1.46,0.0,-100.0
1.47,0.0,-100.0
1.48,0.0,-100.0
1.49,0.0,-100.0
1.5,0.0,-100.0
