Threshold,Sample Efficiency,Percent Change
0.0,6.16047661300545e-05,0.0
0.01,6.16047661300545e-05,0.0
0.02,6.16047661300545e-05,0.0
0.03,6.16047661300545e-05,0.0
0.04,6.16047661300545e-05,0.0
0.05,6.16047661300545e-05,0.0
0.06,6.16047661300545e-05,0.0
0.07,6.16047661300545e-05,0.0
0.08,6.16047661300545e-05,0.0
0.09,6.16047661300545e-05,0.0
0.1,6.16047661300545e-05,0.0
0.11,6.16047661300545e-05,0.0
0.12,6.16047661300545e-05,0.0
0.13,6.16047661300545e-05,0.0
0.14,6.16047661300545e-05,0.0
0.15,6.16047661300545e-05,0.0
0.16,6.16047661300545e-05,0.0
0.17,6.16047661300545e-05,0.0
0.18,6.16047661300545e-05,0.0
0.19,6.16047661300545e-05,0.0
0.2,6.16047661300545e-05,0.0
0.21,6.16047661300545e-05,0.0
0.22,6.16047661300545e-05,0.0
0.23,6.16047661300545e-05,0.0
0.24,6.16047661300545e-05,0.0
0.25,6.16047661300545e-05,0.0
0.26,6.1563457962313e-05,-0.06705352578449911
0.27,6.150398247836856e-05,-0.1635971662860935
0.28,6.150398247836856e-05,-0.1635971662860935
0.29,6.14466739756763e-05,-0.25662325224065935
0.3,6.123479517024935e-05,-0.6005557411322662
0.31,6.07060122053737e-05,-1.4589032328820644
0.32,6.052956933855347e-05,-1.7453142979735836
0.33,6.0478281333617026e-05,-1.8285676047521047
0.34,6.135009883448034e-05,-0.4133889495441436
0.35000000000000003,6.094923780183513e-05,-1.0640870331939511
0.36,6.0730240838399784e-05,-1.4195740793958962
0.37,6.0346347350863155e-05,-2.0427295779918766
0.38,6.047041814946619e-05,-1.8413315265146408
0.39,6.0069822334666647e-05,-2.491599095023616
0.4,5.982354207015279e-05,-2.8913737877704935
0.41000000000000003,6.007650135764015e-05,-2.480757364110455
0.42,6.0419725893294175e-05,-1.9236177834983947
0.43,6.019610763189453e-05,-2.2866063563753074
0.44,5.984565276685867e-05,-2.855482576595046
0.45,5.96454780015414e-05,-3.1804164703374167
0.46,6.04844058114549e-05,-1.8186260398008722
0.47000000000000003,5.908961619275693e-05,-4.082719723321095
0.48,6.074184714961414e-05,-1.4007341227765477
0.49,6.364359586316626e-05,3.309532461835124
0.5,6.207727230612434e-05,0.7669961364228345
0.51,6.244207034489488e-05,1.3591549281637312
0.52,6.266894390726072e-05,1.7274276716831016
0.53,6.266605059489431e-05,1.7227310994076646
0.54,6.352171882297992e-05,3.111695430964736
0.55,6.1090617749662e-05,-0.8345918874313679
0.56,5.896246745857973e-05,-4.289114036885695
0.5700000000000001,5.7560168363492464e-05,-6.56539748568064
0.58,5.866192964699564e-05,-4.776962348734842
0.59,6.174745291756716e-05,0.23161647462702617
0.6,6.194289167547968e-05,0.548862639477211
0.61,6.135134407878805e-05,-0.41136760544054396
0.62,6.048895236495001e-05,-1.8112458421624085
0.63,5.7011547747171235e-05,-7.455946465548576
0.64,6.0796573284051265e-05,-1.311899868748872
0.65,5.9468367127606216e-05,-3.4679118786655376
0.66,5.6929967767591775e-05,-7.588371251330954
0.67,5.7832196268016086e-05,-6.12382790979857
0.68,6.844892160661243e-05,11.109782418634879
0.6900000000000001,6.597115679656336e-05,7.087748141581975
0.7000000000000001,7.284500202347228e-05,18.245724478019103
0.71,7.120605251446373e-05,15.585298001358941
0.72,6.6006600660066e-05,7.14528242947752
0.73,6.303960531725367e-05,2.3291041867930544
0.74,6.383948928408572e-05,3.6275166588790797
0.75,6.31911532385466e-05,2.575104505945315
0.76,6.0667340748230535e-05,-1.5216767154751554
0.77,6.688963210702341e-05,8.5786641342197
0.78,6.543075245365322e-05,6.210536235981546
0.79,6.141248720573183e-05,-0.312116961724601
0.8,6.141248720573183e-05,-0.312116961724601
0.81,6.141248720573183e-05,-0.312116961724601
0.8200000000000001,4.811547714514835e-05,-21.89650222261823
0.8300000000000001,2.7309968138370506e-05,-55.66906612271504
0.84,2.7309968138370506e-05,-55.66906612271504
0.85,2.7309968138370506e-05,-55.66906612271504
0.86,2.2753128555176338e-05,-63.06596066424153
0.87,2.2753128555176338e-05,-63.06596066424153
0.88,1.3166556945358788e-05,-78.62737289260588
0.89,0.0,-100.0
0.9,0.0,-100.0
0.91,0.0,-100.0
0.92,0.0,-100.0
0.93,0.0,-100.0
0.9400000000000001,0.0,-100.0
0.9500000000000001,0.0,-100.0
0.96,0.0,-100.0
0.97,0.0,-100.0
0.98,0.0,-100.0
0.99,0.0,-100.0
1.0,0.0,-100.0
