Threshold,Sample Efficiency,Percent Change
0.0,7.495457298606905e-05,0.0
0.01,7.495457298606905e-05,0.0
0.02,7.495457298606905e-05,0.0
0.03,7.495457298606905e-05,0.0
0.04,7.495457298606905e-05,0.0
0.05,7.495457298606905e-05,0.0
0.06,7.495457298606905e-05,0.0
0.07,7.495457298606905e-05,0.0
0.08,7.495457298606905e-05,0.0
0.09,7.495457298606905e-05,0.0
0.1,7.495457298606905e-05,0.0
0.11,7.495457298606905e-05,0.0
0.12,7.495457298606905e-05,0.0
0.13,7.495457298606905e-05,0.0
0.14,7.495457298606905e-05,0.0
0.15,7.495457298606905e-05,0.0
0.16,7.495457298606905e-05,0.0
0.17,7.495457298606905e-05,0.0
0.18,7.495457298606905e-05,0.0
0.19,7.495457298606905e-05,0.0
0.2,7.487060570926258e-05,-0.11202422142018528
0.21,7.476380400661197e-05,-0.2545127960271824
0.22,7.489553442987296e-05,-0.07876578285231224
0.23,7.489553442987296e-05,-0.07876578285231224
0.24,7.466446795840777e-05,-0.38704113185354966
0.25,7.451187820527562e-05,-0.5906174408807625
0.26,7.437514886554847e-05,-0.7730337155389625
0.27,7.40883658113062e-05,-1.1556428650775445
0.28,7.465288784631966e-05,-0.40249063897069787
0.29,7.449504032483674e-05,-0.6130815545006347
0.3,7.486788021139166e-05,-0.11566042100393017
0.31,7.469654528478058e-05,-0.34424544228465903
0.32,7.403022901017915e-05,-1.2332055791468386
0.33,7.568755340855583e-05,0.9778995373944924
0.34,7.566204287515763e-05,0.94386487829111
0.35000000000000003,7.495258749761803e-05,-0.0026489223698036818
0.36,7.496999353706952e-05,0.02057319571860642
0.37,7.705368934256125e-05,2.800518064297875
0.38,7.642198758142702e-05,1.9577385833826308
0.39,7.612435038114458e-05,1.5606484680967325
0.4,7.550291089171906e-05,0.7315603088712543
0.41000000000000003,7.6690525941404e-05,2.316006730713532
0.42,8.013625614194165e-05,6.913098093208617
0.43,8.017096394835675e-05,6.959403215141008
0.44,8.120308785426183e-05,8.336402462534373
0.45,8.752074845329712e-05,16.7650551081968
0.46,8.687228524108622e-05,15.899913481239075
0.47000000000000003,8.54632968499309e-05,14.020123716554275
0.48,8.469449485783423e-05,12.994433139623695
0.49,8.400020740791953e-05,12.068155499373855
0.5,8.292770867135389e-05,10.637290518307289
0.51,8.130849957454855e-05,8.477036604104772
0.52,7.952671903792067e-05,6.099889399278411
0.53,7.82577763724754e-05,4.406940437136883
0.54,7.71885401564191e-05,2.9804281197963105
0.55,7.549397946057653e-05,0.7196445166964499
0.56,7.70816527740432e-05,2.8378252363194507
0.5700000000000001,7.804357837077971e-05,4.121170012248323
0.58,7.779772591262717e-05,3.7931680660585525
0.59,7.837283075200597e-05,4.560439249746951
0.6,7.713248638838476e-05,2.905644466443025
0.61,7.589232775999052e-05,1.2510974801974546
0.62,7.439478016952254e-05,-0.7468427798935653
0.63,7.859217495301554e-05,4.853075432265589
0.64,7.849915379352563e-05,4.728972050998634
0.65,7.628686883945769e-05,1.7774710738946657
0.66,7.362914163921721e-05,-1.7683128514362694
0.67,7.483325199284203e-05,-0.16185936146893104
0.68,7.419448960026677e-05,-1.0140587231996445
0.6900000000000001,7.469654528478058e-05,-0.34424544228465903
0.7000000000000001,7.295671891945184e-05,-2.6654198496848562
0.71,7.175602949970102e-05,-4.267309330095853
0.72,7.351766022055299e-05,-1.9170448289834479
0.73,7.160681349679939e-05,-4.466384579219562
0.74,7.568707736211924e-05,0.9772644241283817
0.75,7.476117956527759e-05,-0.2580141719003617
0.76,7.358351729212656e-05,-1.8291821823830632
0.77,7.168458781362007e-05,-4.362622642192533
0.78,7.467222366935834e-05,-0.37669391667829005
0.79,7.309029325251805e-05,-2.487212800074911
0.8,7.601162530739995e-05,1.4102572788018748
0.81,7.494038832746679e-05,-0.018924340486726338
0.8200000000000001,7.434944237918216e-05,-0.8073298036123274
0.8300000000000001,7.060010085728694e-05,-5.809481603732734
0.84,7.245404535086542e-05,-3.3360574753302554
0.85,6.669566478178918e-05,-11.018551470922064
0.86,6.59099231050897e-05,-12.066841982623755
0.87,6.41146520837262e-05,-14.461987401832763
0.88,8.943928448572412e-05,19.324653483580217
0.89,8.670520231213873e-05,15.677001226134173
0.9,8.438818565400843e-05,12.585773345267013
0.91,7.366482504604051e-05,-1.720706140595647
0.92,7.024586051179127e-05,-6.282088319218265
0.93,6.191950464396285e-05,-17.39062451136754
0.9400000000000001,4.6985121378230226e-05,-37.315203720841936
0.9500000000000001,5.277044854881267e-05,-29.59675914821033
0.96,5.277044854881267e-05,-29.59675914821033
0.97,3.454231433506045e-05,-53.915667905305206
0.98,0.0,-100.0
0.99,0.0,-100.0
1.0,0.0,-100.0
