Threshold,Sample Efficiency,Percent Change
0.0,7.495457298606905e-05,0.0
0.4,7.495457298606905e-05,0.0
0.41000000000000003,7.495457298606905e-05,0.0
0.42000000000000004,7.495457298606905e-05,0.0
0.43000000000000005,7.495457298606905e-05,0.0
0.44,7.495457298606905e-05,0.0
0.45,7.495457298606905e-05,0.0
0.46,7.484791781880441e-05,-0.14229307567993596
0.47000000000000003,7.484791781880441e-05,-0.14229307567993596
0.48000000000000004,7.484791781880441e-05,-0.14229307567993596
0.49,7.484791781880441e-05,-0.14229307567993596
0.5,7.484791781880441e-05,-0.14229307567993596
0.51,7.479783344206582e-05,-0.20911271688834823
0.52,7.479783344206582e-05,-0.20911271688834823
0.53,7.479306491946824e-05,-0.2154746003700482
0.54,7.479306491946824e-05,-0.2154746003700482
0.55,7.474273884186811e-05,-0.2826167047076766
0.56,7.468727567088724e-05,-0.3566124180728613
0.5700000000000001,7.463656732967798e-05,-0.4242645161225445
0.5800000000000001,7.463775349576516e-05,-0.4226820028215965
0.5900000000000001,7.463775349576516e-05,-0.4226820028215965
0.6000000000000001,7.452938916634652e-05,-0.5672553425146628
0.61,7.466839810778221e-05,-0.38179775680934686
0.62,7.437547165407626e-05,-0.7726030699960333
0.63,7.430022274490256e-05,-0.872995756093628
0.64,7.417239225484073e-05,-1.0435397068751116
0.65,7.411253776435045e-05,-1.1233940614605291
0.66,7.39829318694493e-05,-1.2963066533650047
0.67,7.368671262182078e-05,-1.6915050192920347
0.68,7.368671262182078e-05,-1.6915050192920347
0.69,7.343453812702104e-05,-2.027941456394553
0.7,7.296029958919477e-05,-2.660642729890454
0.71,7.282437188979245e-05,-2.8419895029920568
0.72,7.291179151168805e-05,-2.7253593650125416
0.73,7.506162730196099e-05,0.14282559639401995
0.74,7.510935294425178e-05,0.2064983522906537
0.75,7.437111362351611e-05,-0.7784172990504239
0.76,7.381583394105405e-05,-1.5192389198543466
0.77,7.393749087191471e-05,-1.3569313700758066
0.78,7.374465210538167e-05,-1.6142055547594778
0.79,7.281784132174838e-05,-2.850702204277508
0.8,7.307617755378949e-05,-2.5060451383382207
0.81,7.31709768526429e-05,-2.3795694677063146
0.8200000000000001,7.24562888343001e-05,-3.3330643511681015
0.8300000000000001,7.339891763984137e-05,-2.0754642235328453
0.8400000000000001,7.28456469034909e-05,-2.8136056261305264
0.8500000000000001,7.217424925892512e-05,-3.7093450291027237
0.8600000000000001,7.123711091255946e-05,-4.959620107769155
0.8700000000000001,7.281399449455163e-05,-2.8558344157537388
0.88,7.134800514125332e-05,-4.811671524679411
0.89,7.236759384735747e-05,-3.451396006474999
0.9,7.22362272050477e-05,-3.6266576844171743
0.91,7.390638524535589e-05,-1.3984306746807502
0.92,7.451191115887516e-05,-0.5905734761188728
0.93,7.624181748170966e-05,1.717366191759721
0.9400000000000001,7.59275961155274e-05,1.2981504539278754
0.9500000000000001,7.639132981839484e-05,1.91683679205647
0.9600000000000001,7.47395253297696e-05,-0.28690398428314445
0.9700000000000001,7.225547849476544e-05,-3.600973741529102
0.98,7.321783747946153e-05,-2.317050764774964
0.99,7.12130356065178e-05,-4.991739970617464
1.0,7.412282220913719e-05,-1.1096731577490841
1.01,8.042450874720173e-05,7.29766783162025
1.02,7.80453194980267e-05,4.1234929222158225
1.03,8.22143052891203e-05,9.685509521080904
1.04,8.769525897506166e-05,16.9978768224863
1.05,9.585758301951387e-05,27.887571365832237
1.06,9.20101398929678e-05,22.7545381521534
1.07,8.60258077423227e-05,14.770592793999821
1.08,8.075957655789589e-05,7.744695674413017
1.09,9.345794392523364e-05,24.686113471160198
1.1,8.426966292134831e-05,12.42764725910793
1.1099999999999999,7.753519689859213e-05,3.4429172360206888
1.12,7.496876301541024e-05,0.01893150581197342
1.13,8.788449466415568e-05,17.250343992340227
1.1400000000000001,8.486562942008487e-05,13.222750846513229
1.15,7.968127490039841e-05,6.306088776208305
1.1600000000000001,7.5046904315197e-05,0.12318305001232045
1.17,5.333333333333333e-05,-28.845791245791247
1.1800000000000002,4.8899755501222496e-05,-34.76081104442962
1.19,5.899705014749263e-05,-21.289592086052256
1.2000000000000002,4.7732696897374704e-05,-36.31783226055302
1.21,4.7732696897374704e-05,-36.31783226055302
1.2200000000000002,3.0349013657056145e-05,-59.51012400177802
1.23,3.0349013657056145e-05,-59.51012400177802
1.24,3.0349013657056145e-05,-59.51012400177802
1.25,0.0,-100.0
1.26,0.0,-100.0
1.27,0.0,-100.0
1.28,0.0,-100.0
1.29,0.0,-100.0
1.3,0.0,-100.0
