file,type,activation,threshold_steps,env,control_se,highest_se,highest_se_boost (%),highest_se_threshold
train_grad_results_122_tanh_v0.csv,train,tanh,122,v0,0.00020833333333333335,0.0002490170380078637,19.528178243774573,1.09
test_grad_results_122_tanh_v0.csv,test,tanh,122,v0,0.00020652622883106156,0.00021086780210867803,2.102189781021898,0.98

train_results_101_relu_v0.csv,train,relu,101,v0,6.16047661300545e-05,7.284500202347228e-05,18.245724478019103,0.7000000000000001
test_results_101_relu_v0.csv,test,relu,101,v0,5.969600392253003e-05,9.518773135906928e-05,59.45410932798504,0.81

train_results_102_tanh_v0.csv,train,tanh,102,v0,0.00020833333333333335,0.000248072410325176,19.074756956084485,1.35
test_results_102_tanh_v0.csv,test,tanh,102,v0,0.00020652622883106156,0.00023537677849991216,13.969436149657463,1.3

train_results_102_tanh_v1.csv,train,tanh,102,v1,0.0002506265664160401,0.0002637968370627994,5.254937988056961,1.2
test_results_102_tanh_v1.csv,test,tanh,102,v1,0.0002506265664160401,0.0002637968370627994,5.254937988056961,1.2

train_results_11_tanh_v0.csv,train,tanh,11,v0,0.00020833333333333335,0.00024384633080285254,17.046238785369212,1.4
test_results_11_tanh_v0.csv,test,tanh,11,v0,0.00020652622883106156,0.00023537677849991216,13.969436149657463,1.3

