Threshold,Sample Efficiency,Percent Change
0.5,0.00020078313253012048,0.0
0.51,0.00020078313253012048,0.0
0.52,0.00020078313253012048,0.0
0.53,0.00020078313253012048,0.0
0.54,0.00020078313253012048,0.0
0.55,0.00020078313253012048,0.0
0.56,0.00020078313253012048,0.0
0.5700000000000001,0.00020078313253012048,0.0
0.58,0.00020078313253012048,0.0
0.59,0.00020077091372051718,-0.006085575740018491
0.6,0.00020077091372051718,-0.006085575740018491
0.61,0.00020077091372051718,-0.006085575740018491
0.62,0.00020077091372051718,-0.006085575740018491
0.63,0.00020077091372051718,-0.006085575740018491
0.64,0.00020077091372051718,-0.006085575740018491
0.65,0.00020077091372051718,-0.006085575740018491
0.66,0.000200770789527063,-0.006147430265655707
0.67,0.0002007585685407949,-0.012234090093153351
0.6799999999999999,0.0002007585685407949,-0.012234090093153351
0.69,0.0002007584431027072,-0.012296564508272233
0.7,0.00020085064974883617,0.03362693761417487
0.71,0.0002008865481853121,0.051506146900121993
0.72,0.00020090664531174232,0.061515516799354665
0.73,0.00020089822558685044,0.05732207445896579
0.74,0.00020089766642973213,0.05704358636523689
0.75,0.000200873054633886,0.04478568624385061
0.76,0.0002008922721490534,0.05435696592517964
0.77,0.0002008347610725843,0.02571358550552661
0.78,0.0002008457406590478,0.031181966402443344
0.79,0.00020091292795394297,0.06464458552214854
0.8,0.0002008750954161765,0.045802097465641456
0.81,0.00020089668619941676,0.05655538284782878
0.8200000000000001,0.0002008494818608066,0.033045271208801096
0.8300000000000001,0.0002008299093624787,0.02329719223361962
0.8400000000000001,0.00020096508308502912,0.09062043838833833
0.8500000000000001,0.00020112635700082749,0.17094288070015737
0.86,0.00020098529902451472,0.10068898310663997
0.87,0.00020114742535658377,0.18143597117583338
0.88,0.00020116785576250118,0.19161133085867282
0.89,0.00020119093240574242,0.20310464852457819
0.9,0.0002012876128252177,0.25125631258967757
0.91,0.00020156508094265485,0.3894492543675535
0.9199999999999999,0.00020151835707972346,0.3661784435466375
0.9299999999999999,0.00020142085720614215,0.31761865052384175
0.94,0.0002017746525293167,0.49382634223394445
0.95,0.00020153568080802644,0.37480652304947043
0.96,0.00020122568248229127,0.22041191737279162
0.97,0.00020086621973414428,0.04138156576042496
0.98,0.00020082592671361098,0.021313634741739935
0.99,0.0002012489172789161,0.23198400330055163
1.0,0.00020152299725860495,0.3684894837336361
1.01,0.00020171252158129234,0.46288203568715364
1.02,0.00020146838079872564,0.3412877665420248
1.03,0.00020138180669070226,0.29816954892461917
1.04,0.00020198209244824125,0.5971417533994806
1.05,0.0002015668805336702,0.390345540321793
1.06,0.00020152195390547368,0.36796984191008236
1.07,0.0002023880053544327,0.7993065971672035
1.08,0.00020219540600143718,0.703382526968412
1.0899999999999999,0.00020222910897040242,0.7201682840888147
1.1,0.0002024072412182079,0.8088870153690771
1.1099999999999999,0.00020196379867835337,0.5880305448744654
1.12,0.00020139584518807913,0.3051614198053868
1.13,0.00020102743998094813,0.12167727823999262
1.1400000000000001,0.0002013386859604665,0.2766932776400831
1.15,0.0002012459670616464,0.2305146481647273
1.1600000000000001,0.00020137697009876937,0.2957606852556728
1.17,0.00020104043227810745,0.128148089306439
1.1800000000000002,0.00020111861923772842,0.1670890892976813
1.19,0.0002004381385254796,-0.1718241967308319
1.2000000000000002,0.00020134922493071473,0.2819422097169083
1.21,0.00020097080093963373,0.09346821475907328
1.22,0.00020067794941832924,-0.05238642831487209
1.23,0.0002009945585670025,0.10530069643689506
1.24,0.00020014027875193578,-0.32017319885586865
1.25,0.000199123263243926,-0.8266975742822785
1.26,0.00019951438797887304,-0.631897976318857
1.27,0.00019861248075292814,-1.0810926943112191
1.28,0.00019585632330909489,-2.453796371707918
1.29,0.00019345905379502013,-3.6477559856785415
1.3,0.0001928773088972264,-3.9374939185731153
1.31,0.00019303369602753276,-3.8596053388225666
1.32,0.00019277230996159813,-3.989788617985932
1.33,0.00019156899091492166,-4.589101434512466
1.3399999999999999,0.00018991758737228395,-5.411582646867278
1.35,0.00018888372813128968,-5.926496040221762
1.3599999999999999,0.00018800837757537383,-6.36246421388522
1.37,0.00018617895082685356,-7.273609849211847
1.38,0.00018180261081272864,-9.453245139775117
1.3900000000000001,0.0001783174707362433,-11.189018475198356
1.4,0.00017673511745652378,-11.977109217572917
1.4100000000000001,0.00017485353762956287,-12.914229683446035
1.42,0.00016752316594504917,-16.56511987135265
1.4300000000000002,0.00016189759036144578,-19.36693669366937
1.44,0.00015478346780833197,-22.910124043855063
1.4500000000000002,0.00014913633074284995,-25.722679558016527
1.46,0.00014148980441115272,-29.531030506296574
1.47,0.00013010336432932914,-35.202044768470934
1.48,0.00012035463273462262,-40.05739863802174
1.49,0.00010741138560687433,-46.503780345811165
1.5,9.197873738278684e-05,-54.19000778415057
1.51,7.692307692307693e-05,-61.68847653996168
1.52,5.899705014749263e-05,-70.61653067961663
1.53,4.562976949099206e-05,-77.27410220370633
1.54,3.6249794035261165e-05,-81.94579715015496
1.55,3.372681281618887e-05,-83.20236745428336
1.56,2.180232558139535e-05,-89.14135599606472
1.57,1.3068234854849248e-05,-93.49136817910299
1.58,1.1263375258119016e-05,-94.39027814927167
1.59,3.961180431768667e-06,-98.02713485846505
1.6,1.9922303018228907e-06,-99.00777008670087
